GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order,com.nexTime.order.infrastructure.messaging.producer,SagaProducer,57,0,0,0,7,0,3,0,3,0
order,com.nexTime.order.application.config.logs,LoggingContextFilter,14,0,0,0,5,0,2,0,2,0
order,com.nexTime.order.domain.enums,Category,42,0,0,0,9,0,3,0,3,0
order,com.nexTime.order.domain.enums,OrderStatus,3,46,0,0,1,9,1,2,1,2
order,com.nexTime.order.domain,EventFilters,98,26,22,0,0,5,15,6,4,6
order,com.nexTime.order.domain,OrderRequest,72,9,14,0,2,2,13,2,6,2
order,com.nexTime.order.application.usecases.implementation.order,ListOrdersUseCaseImpl,0,19,0,2,0,5,0,3,0,2
order,com.nexTime.order.application.usecases.implementation.order,ListOrdersByStatusUseCaseImpl,0,21,0,2,0,5,0,3,0,2
order,com.nexTime.order.application.usecases.implementation.order,FindOrderByIdUseCaseImpl,0,20,0,0,0,3,0,3,0,3
order,com.nexTime.order.application.usecases.implementation.order,CreateOrderUseCaseImpl,0,34,0,4,0,7,0,4,0,2
order,com.nexTime.order.infrastructure.controller.dto.request,OrderItemRequest.OrderItemRequestBuilder,36,0,0,0,1,0,6,0,6,0
order,com.nexTime.order.infrastructure.controller.dto.request,OrderRequest.OrderRequestBuilder,27,0,0,0,1,0,5,0,5,0
order,com.nexTime.order.infrastructure.controller.dto.request,ProductRequest,13,0,0,0,2,0,2,0,2,0
order,com.nexTime.order.infrastructure.controller.dto.request,ProductRequest.ProductRequestBuilder,27,0,0,0,1,0,5,0,5,0
order,com.nexTime.order.infrastructure.controller.dto.request,OrderItemRequest,16,0,0,0,2,0,2,0,2,0
order,com.nexTime.order.infrastructure.controller.dto.request,OrderRequest,13,0,0,0,2,0,2,0,2,0
order,com.nexTime.order.application.config.exception,ExceptionGlobalHandler,0,18,0,0,0,3,0,2,0,2
order,com.nexTime.order.infrastructure.adapters.logging,LoggerAdapter,39,0,0,0,12,0,6,0,6,0
order,com.nexTime.order.infrastructure.controller,OrderController,126,0,0,0,21,0,4,0,4,0
order,com.nexTime.order.infrastructure.controller,EventController,62,0,0,0,9,0,3,0,3,0
order,com.nexTime.order.infrastructure.messaging.consumer,EventConsumer,0,55,0,0,0,9,0,2,0,2
order,com.nexTime.order.application.config.sqs,SqsConfig,25,0,0,0,8,0,2,0,2,0
order,com.nexTime.order.utils,JsonConverter,0,49,0,0,0,9,0,3,0,3
order,com.nexTime.order.application.usecases.implementation.event,FindEventByFiltersUseCaseImpl,0,65,0,6,0,12,0,10,0,7
order,com.nexTime.order.application.usecases.implementation.event,FindAllEventsUseCaseImpl,0,19,0,2,0,5,0,3,0,2
order,com.nexTime.order.infrastructure.adapters,EventAdapter,0,67,0,0,0,11,0,3,0,3
order,com.nexTime.order.infrastructure.adapters,OrderAdapter,0,98,0,0,0,23,0,3,0,3
order,com.nexTime.order,OrderApplication,8,0,0,0,3,0,2,0,2,0
order,com.nexTime.order.application.mapper,OrderItemMapperImpl,20,0,0,0,4,0,4,0,4,0
order,com.nexTime.order.application.mapper,OrderMapperImpl,40,0,0,0,8,0,8,0,8,0
order,com.nexTime.order.application.mapper,ProductMapperImpl,15,0,0,0,3,0,3,0,3,0
order,com.nexTime.order.domain.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
order,com.nexTime.order.domain.exception,ExceptionDetail,0,9,0,0,0,1,0,1,0,1
order,com.nexTime.order.domain.exception.order,OrderEmptyException,0,4,0,0,0,2,0,1,0,1
order,com.nexTime.order.domain.exception.order,OrderListEmptyException,0,4,0,0,0,2,0,1,0,1
order,com.nexTime.order.domain.exception.order,OrderNotFoundStatusException,0,5,0,0,0,2,0,1,0,1
order,com.nexTime.order.domain.exception.order,OrderNotFoundException,0,5,0,0,0,2,0,1,0,1
order,com.nexTime.order.infrastructure.persistence.document,OrderItem.OrderItemBuilder,8,28,0,0,0,1,1,5,1,5
order,com.nexTime.order.infrastructure.persistence.document,Order.OrderBuilder,37,62,0,0,0,1,4,9,4,9
order,com.nexTime.order.infrastructure.persistence.document,Product.ProductBuilder,8,28,0,0,0,1,1,5,1,5
order,com.nexTime.order.infrastructure.persistence.document,Event.EventBuilder,33,48,0,0,0,1,4,7,4,7
